case,fault,root_cause_service,seed,mask_id,mask_ratio,target_count,redacted_boundary_spans,typed_universe_count,a2_proposal_count,candidate_recall,masked_recall,mrr_within_a2,silver_precision_lower_bound,compression_ratio,budget_saturated,dropped_by_budget,leakage_checks_all_pass,cell_gate_status,cell_gate_passed,run_summary
re2tt_ts-order-service_disk_3,disk,ts-order-service,11,iid40_l2_s11,0.4,8,8938,368,9,1.0,1.0,1.0,0.8888888888888888,0.9755434782608695,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-11/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,17,iid20_l2_s17,0.2,4,3784,364,7,1.0,1.0,1.0,0.5714285714285714,0.9807692307692307,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-17/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,17,iid40_l2_s17,0.4,8,7808,368,11,1.0,1.0,1.0,0.7272727272727273,0.970108695652174,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-17/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,23,iid20_l2_s23,0.2,4,1007,364,4,1.0,1.0,1.0,1.0,0.989010989010989,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-23/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,23,iid40_l2_s23,0.4,8,4799,368,10,1.0,1.0,1.0,0.8,0.9728260869565217,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-23/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,31,iid20_l2_s31,0.2,4,1044,364,4,1.0,1.0,1.0,1.0,0.989010989010989,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-31/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,31,iid40_l2_s31,0.4,8,4927,368,11,1.0,1.0,1.0,0.7272727272727273,0.970108695652174,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-31/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,47,iid20_l2_s47,0.2,4,5066,364,7,1.0,1.0,1.0,0.5714285714285714,0.9807692307692307,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-47/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,47,iid40_l2_s47,0.4,8,8823,368,14,1.0,1.0,1.0,0.5714285714285714,0.9619565217391304,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-47/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,11,iid20_l2_s11,0.2,11,11017,658,13,1.0,1.0,1.0,0.8461538461538461,0.9802431610942249,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-11/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,11,iid40_l2_s11,0.4,22,46864,669,30,1.0,1.0,1.0,0.7333333333333333,0.9551569506726457,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-11/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,17,iid20_l2_s17,0.2,11,8194,658,13,1.0,1.0,1.0,0.8461538461538461,0.9802431610942249,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-17/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,17,iid40_l2_s17,0.4,22,20497,669,24,1.0,1.0,1.0,0.9166666666666666,0.9641255605381166,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-17/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,23,iid20_l2_s23,0.2,11,5844,658,12,1.0,1.0,1.0,0.9166666666666666,0.9817629179331308,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-23/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,23,iid40_l2_s23,0.4,22,36801,669,27,1.0,1.0,1.0,0.8148148148148148,0.9596412556053812,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-23/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,31,iid20_l2_s31,0.2,11,21876,658,14,1.0,1.0,0.9545454545454546,0.7857142857142857,0.9787234042553191,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-31/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,31,iid40_l2_s31,0.4,22,40279,669,27,1.0,1.0,0.9545454545454546,0.8148148148148148,0.9596412556053812,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-31/summary.json
re2tt_ts-train-service_loss_3,loss,ts-train-service,47,iid20_l2_s47,0.2,11,5879,658,14,1.0,1.0,1.0,0.7857142857142857,0.9787234042553191,False,0,True,PASS,True,runs/re2tt_ts-train-service_loss_3/seed-47/summary.json
