retention_fraction,minimum_keep,operational_weight,nli_weight,cell_count,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_median,selected_count_max,silver_precision_lower_bound_macro,silver_precision_lower_bound_min,mrr_macro,mrr_min,selected_count_ratio,delta_vs_full_p_lb,delta_vs_full_mrr,matched_a2_recall_delta,matched_a2_p_lb_delta,matched_a2_mrr_delta,matched_r2_recall_delta,matched_r2_p_lb_delta,matched_r2_mrr_delta,nli_additive_gain,feasible,violation_count,selected
0.8,14,0.0,0.2,20,0.9931818181818182,0.9090909090909091,0.9904761904761905,19.9,19.5,26,0.7771491132482181,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8378947368421052,0.10423188859712251,-0.006818181818181834,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.0044466403162055634,False,7,False
0.8,14,0.0,0.3,20,0.9886363636363636,0.9090909090909091,0.9841269841269841,19.9,19.5,26,0.773052123281663,0.5882352941176471,0.9886363636363636,0.9090909090909091,0.8378947368421052,0.10013489863056735,-0.011363636363636354,-0.009090909090909038,-0.008543630282760728,-0.009090909090909038,-0.009090909090909038,-0.008543630282760728,-0.009090909090909038,-0.008543630282760728,False,8,False
0.8,14,0.0,0.4,20,0.9861363636363636,0.9090909090909091,0.9809523809523809,19.9,19.5,26,0.7714017736313132,0.5882352941176471,0.9824999999999999,0.9090909090909091,0.8378947368421052,0.09848454898021763,-0.01750000000000007,-0.011590909090909096,-0.010193979933110442,-0.015227272727272756,-0.011590909090909096,-0.010193979933110442,-0.015227272727272756,-0.010193979933110442,False,8,False
0.8,14,0.1,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.9,19.5,26,0.7815957535644237,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8378947368421052,0.10867852891332808,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,14,0.1,0.2,20,0.9931818181818182,0.9090909090909091,0.9904761904761905,19.9,19.5,26,0.7771491132482181,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8378947368421052,0.10423188859712251,-0.006818181818181834,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.0044466403162055634,False,7,False
0.8,14,0.1,0.3,20,0.9954545454545455,0.9545454545454546,0.9936507936507937,19.9,19.5,26,0.7794218405209454,0.5882352941176471,0.9942045454545454,0.9545454545454546,0.8378947368421052,0.10650461586984983,-0.005795454545454604,-0.002272727272727204,-0.0021739130434782483,-0.0035227272727272885,-0.002272727272727204,-0.0021739130434782483,-0.0035227272727272885,-0.0021739130434782483,False,7,False
0.8,14,0.1,0.4,20,0.9861363636363636,0.9090909090909091,0.9809523809523809,19.9,19.5,26,0.7714017736313132,0.5882352941176471,0.9789772727272726,0.9,0.8378947368421052,0.09848454898021763,-0.02102272727272736,-0.011590909090909096,-0.010193979933110442,-0.018750000000000044,-0.011590909090909096,-0.010193979933110442,-0.018750000000000044,-0.010193979933110442,False,8,False
0.8,14,0.2,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.9,19.5,26,0.7815957535644237,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8378947368421052,0.10867852891332808,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,14,0.2,0.2,20,0.9954545454545455,0.9090909090909091,0.9936507936507937,19.9,19.5,26,0.7793230262916964,0.5882352941176471,0.9942045454545454,0.9090909090909091,0.8378947368421052,0.10640580164060076,-0.005795454545454604,-0.002272727272727204,-0.002272727272727315,-0.0035227272727272885,-0.002272727272727204,-0.002272727272727315,-0.0035227272727272885,-0.002272727272727315,False,7,False
0.8,14,0.2,0.3,20,0.9954545454545455,0.9545454545454546,0.9936507936507937,19.9,19.5,26,0.7794218405209454,0.5882352941176471,0.9919318181818182,0.9545454545454546,0.8378947368421052,0.10650461586984983,-0.008068181818181808,-0.002272727272727204,-0.0021739130434782483,-0.005795454545454493,-0.002272727272727204,-0.0021739130434782483,-0.005795454545454493,-0.0021739130434782483,False,7,False
