retention_fraction,minimum_keep,nli_weight,recall_macro,recall_min,selected_count_mean,selected_count_max,silver_precision_lower_bound_macro,mrr_macro,matched_budget_recall_delta,matched_budget_p_lb_delta,matched_budget_mrr_delta,matched_budget_additive_gain,violation_count,feasible,selected,selection_status
1.0,10,0.2,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,10,0.3,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,12,0.05,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,12,0.1,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,12,0.2,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,12,0.3,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,14,0.05,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,14,0.1,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,14,0.2,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
1.0,14,0.3,20,1.0,1.0,23.75,32,0.6729172246510956,1.0,0.0,0.0,0.0,False,1,False,False,NOT_SELECTED
